item_id,company_name,name,title_bloomberg,title
1647,"cable & wireless communicati","Kunal   Patel  ","Head of Investor Relations and Associate Director of Corporate Finance",
1656,"enterprise inns plc-unsp adr","Emma   Greves  ","Investor Relations Manager",
1691,"Wincor Nixdorf AG  ","Peter Holder",,"Director Finance and Investor Relations"
1699,"Kudelski SA  ","Santino Rumasuglia",,"Vice President of Treasury and Investor Relations"
1700,"Aareal Bank AG  ","Juergen Junginger",,"Director of Investor Relations"
1702,"aixtron se-sponsored adr","Guido   Pickert  ","Director of Investor Relations & Corporate Communications ",
1703,"Axel Springer SE  ","Christoph Keese",,"Executive Vice President - Investor Relations team"
1705,"Brenntag AG  ","Thomas Langer",,"Vice President Corporate Finance & Investor Relations"
1708,"DEUTZ AG  ","Margarete Haase","Chief Financial Officer and Member of The Management Board ","Chief Financial Officer and Member of the Management Board responsible for Human Resources, Investor Relations"
1711,"Duerr AG  ","Gunter Dielmann",,"Vice President of Corporate Communications & Investor Relations"
1718,"Hannover Rueck SE  ","Julia Hartmann",,"Senior Investor Relations Manager"
1719,"Heidelberger Druckmaschinen AG  ","Robin Karpp",,"Head of Investor Relations"
1722,"Kloeckner & Co SE  ","Christian Pokropp",,"Head of Investor Relations & Corporate Communications"
1725,"Man SE  ","Helga Wuertele",,"Vice President, Head of Investor Relations"
1728,"MTU Aero Engines AG  ","Peter Kameritsch",,"Vice President of Investor Relations"
1731,"Osram Licht AG  ","Boris Tramm",,"Head of Investor Relations"
1736,"psi ag","Karsten   Pierschke  ","Head of Investor Relations & Corporate Communications ",
1736,"psi ag","Susanne   John  ","Investor Relations Officer",
1738,"RATIONAL AG  ","Erich Baumgaertner",,"Member of the Executive Board, Chief Financial Officer, Director of Investor Relations"
1741,"Salzgitter AG  ","Bernhard Kleinermann",,"Head of corporate communication and Investor Relations"
1776,"TOM TAILOR Holding AG  ","Felix Zander","Head of Investor Relations & Corporate Communications","Head of Investor Relations & Corporate Communications"
2001,"Advanced Digital Broadcast Holdings SA  ","Tina Nyfors",,"Senior Vice President, Investor Relations and Group Communication"
2006,"Allreal Holding AG  ","Matthias Meier",,"Investor Relations Contact Officer, Chief Communications Officer"
2011,"Altin AG  ","Jose Galeano",,"Head Investor Relations Manager"
2013,"APG SGA SA  ","Beat Hermann","Chief Financial Officer and Member of Executive Board ","Member of the Executive Board, Chief Financial Officer, Investor Relations Officer"
2057,"cph chemie & papier hldg-reg","Manfred   Häner  ","Chief Financial Officer and Head of Finance, Investor Relations, Real Estate & IT ",
2059,"Cytos Biotechnology AG  ","Harry Welten",,"Member of the Executive Board, Chief Financial Officer, Executive Vice President, Investor Relations Officer"
2084,"gurit holding ag-br","Bernhard   Schweizer  ","Head of Group Communications and Executive of Group Investor Relations",
2084,"Gurit Holding AG  ","Markus Knuesli Amacker","Chief Financial Officer and Head of Investor Relations ","Chief Financial Officer, Member of the Management Board"
2093,"INFICON Holding AG  ","Matthias Troendle",,"Chief Financial Officer, Vice President responsible for Investor Relations"
2093,"inficon holding ag-reg","BettyAnn   Kram  ","Director of Global Communications and Investor Relations ",
2102,"komax holding ag-reg","Marco   Knuchel  ","Head of Investor Relations & Corporate Communications",
2136,"Phoenix Mecano AG  ","Benedikt A. Goldkamp","Chief Executive Officer, Director and Managing Director of Phoenix Mecano Management AG - Switzerland ","Chief Executive Officer, Delegate of the Board of Directors, Investor Relations Contact Officer"
2140,"Publigroupe SA  ","Jean-Denis Briod",,"Member of the Management Board, Director Headquarters, Investor Relations Contact Officer"
2143,"Romande Energie Holding SA  ","Rene Lauckner",,"Corporate Treasurer and Head of Investor Relations"
2165,"Tamedia AG  ","Christoph Zimmer",,"Head of Investor Relations"
2172,"USI Group Holdings AG  ","Doraiswamy Srinivas",,"Deputy Chairman of the Board of Directors, Secretary, Member of the Management Board and Director of Investor Relations"
2172,"usi group holdings ag-reg","Doraiswamy   Srinivas Ph.D.","Deputy Chairman and Director of Investor Relations ",
2182,"Walter Meier AG  ","Jochen Nutz","Chief Financial Officer and Chief Operationg Officer ","Member of the Management Board, Chief Financial Officer, Investor Relations Contact Officer"
2199,"3u holding ag","Peter   Alex  ","Head of Investor Relations ",
2200,"4 Sc AG  ","Bettina Von Klitzing-Stueckle",,"Senior Manager Corporate Communications & Investor Relations"
2210,"adesso AG  ","Christoph Junge","Member of the Executive Board","Member of the Management Board, Investor Relations Contact Officer"
2219,"Companhia de Seguros Alianca da Bahia  ","Antonio Tavares da Camara",,"Investor Relations Officer, Member of the Executive Board"
2263,"Biotest AG  ","Monika Buttkereit",,"Head of Investor Relations"
2270,"Carl Zeiss Meditec AG  ","Sebastian Frericks",,"Director Investor Relations"
2275,"Celesio AG  ","Markus Georgi",,"Director of Investor Relations"
2286,"colonia real estate ag","Claudia   Kellert  ","Head of Investor Relations & Communication",
2318,"dic asset ag","Peer   Schlinkmann  ","Head of Investor Relations",
2327,"Deutsche Beteiligungs AG  ","Thomas Franke",,"Head of Investor Relations and Public Relations"
2344,"ElringKlinger AG  ","Stephan Haas",,"Head of Investor Relations"
2346,"Enbw Energie Baden Wuerttemberg AG  ","Ingo Peter Voigt",,"Head of Finance / Investor Relations"
2350,"Epigenomics AG  ","Antje Zeise",,"Manager Investor Relations"
2360,"fidor bank ag","Matthias   Kröner  ","Head of Investor Relations & Public Relations, Sales & Marketing, Strategic Development & Communities & Asset Liability Management and Member of Management Board ",
2409,"Hoeft & Wessel AG  ","Arnd Fritzemeier",,"Head of Investor Relations and Public Relations"
2410,"homag group ag","Kai   Knitter  ","Head of Corporate Communications & Investor Relations ",
2426,"indus holding ag","Regina   Wolter  ","Head of Public Relations & Investor Relations ",
2442,"Kabel Deutschland Holding AG  ","Elmar Baur",,"Head of Investor Relations"
2447,"Kion Group AG  ","Silke Glitza",,"Head of Investor Relations and M&A"
2459,"KUKA AG  ","Andreas Spitzauer",,"Director of Investor Relations"
2464,"leg immobilien ag","Burkhard   Sawazki  ","Head of Investor Relations",
2470,"LS telcom AG  ","Manfred Lebherz",,"Spokesman for the Executive Board, Chief Financial Officer, Responsible for Sales and Investor Relations"
2471,"ludwig beck am rathauseck","Dieter   Münch  ","Chief Financial Officer, Head of Finance, Head of Investor Relations and Member of Executive Board ",
2474,"m4e AG  ","Michael Buettner",,"Chief Financial Officer, Director of Investor Relations and Member of the Management Board"
2481,"Maschinenfabrik Berthold Hermle AG  ","Guenther Beck",,"Member of the Management Board, Finance Director, Director of Human Resources, Director of Investor Relations"
2492,"medisana ag","Ralf   Lindner  ","Chairman of Management Board, Chief Executive Officer and Head of Strategy, Investor Relations, Corporate Marketing & Global Sales ",
2496,"mic AG  ","Sabrina Mueller",,"Director of Marketing, Public and Investor Relations"
2501,"mme moviement ag","Markus   Schäfer  ","Chief Financial Officer, Chief Operating Officer, Investor Relations Officer and Member of Management Board",
2578,"Rhoen-Klinikum AG  ","Kai G. Klinger",,"Senior Vice President of Investor Relations, Corporate Finance and Mergers and Acquisitions"
2590,"Sartorius AG  ","Petra Kirchhoff",,"Member of the Supervisory Board, Vice President of Corporate Communications & Investor Relations"
2598,"Secunet Security Networks AG  ","Kay Rathke",,"Head of Investor Relations"
2604,"SGL Carbon SE  ","Raj Roychowdhury",,"Head of Investor Relations"
2604,"SGL Carbon SE  ","Vanessa Rau",,"Assistance Investor Relations"
2604,"SGL Carbon SE  ","Juergen Reck",,"Senior Manager Investor Relations"
2607,"SHW AG  ","Michael Schickling",,"Head of Investor Relations & Corporate Communications"
2627,"STADA Arzneimittel AG  ","Markus Metzger",,"Director of Investor Relations"
2678,"Viscom AG  ","Dirk Schwingel",,"Member of the Executive Board, Chief Financial Officer, Responsible for Human Resources, Investor Relations and Controlling"
2684,"Wacker Neuson SE  ","Katrin Yvonne Neuffer",,"Head of Corporate Communication/ Investor Relations"
2689,"WASGAU Produktions & Handels AG  ","Alois Kettern","Chairman of The Management Board, Chief Executive Officer and Head of Corporate Planning & Development, Finances, Controlling, Revision, Compliance, Personnel, Investor Relations, Group Communication, Properties/Expansion, Retail Trade, Cash & Carry ","Chairman of the Management Board"
2699,"xing ag","Patrick   Moller  ","Chief Editor and Director of Investor Relations ",
2708,"Buwog AG  ","Holger Lueth",,"Head of Investor Relations & Corporate Finance"
2708,"buwog ag","Holger   Loth  ","Head of Investor Relations & Corporate Finance",
2712,"Firstextile AG  ","Xinxin Wang","Investor Relations Officer, General Counsel, Executive Director, Member of The Management Board and Member of Executive Committee","Executive Director"
2714,"Joyou AG  ","Ian M. Oades",,"Vice President of Finance and Head of Investor Relations"
2716,"Ming Le Sports AG  ","Nicole Schuettforth",,"Senior Consultant Investor Relations"
2726,"unicredit spa-144a adr","Andrea Francesco Maffezzoni  ","Head of Group Investor Relations, Head of Planning, Strategy & Capital Management and Executive Vice President ",
2727,"Update Software AG  ","Kerstin Schabhuettl",,"Investor Relations Manager"
2734,"Sanochemia Pharmazeutika AG  ","Klaus Gerdes","Chief Operating Officer, Head of Marketing, Sales, Research & Development, Head of Investor Relations, Chief Marketing Officer and Head of New Business Development ","Member of the Management Board, Chief Operating Officer, Chief Marketing Officer"
2751,"VSG Vange Software Group AG  ","Chahua Lin",,"Deputy Chief Executive Officer, Director of Investor Relations, Member of the Board of Directors, Interim Chief Financial Officer"
2820,"AAK publ AB  ","Fredrik Nilsson","Chief Financial Officer, Head of Investor Relations and Vice President ","Chief Financial Officer, Vice President"
2855,"Abaxis Inc  ","Ross Taylor",,"Vice President - Business Development & Investor Relations"
2884,"Abengoa SA (ADR)  ","Ignacio Alvear",,"Director of Investor Relations, IR Contact Officer"
2900,"ABIOMED, Inc.  ","Ingrid Goldberg",,"Director - Investor Relations"
2911,"ABM Industries, Inc.  ","David L. Farwell",,"Senior Vice President - Investor Relations"
2950,"acadia pharmaceuticals inc","Lisa   Barthelemy  ","Director of Investor Relations",
3014,"Automotive Components Europe SA  ","Piotr K. Fugiel",,"Investor Relations Officer"
3076,"ACSM-AGAM SpA  ","Pamela Boggiani",,"Investor Relations Officer"
3083,"Acteos SA  ","Christophe Sion","Chief Financial Officer and Head of Investor Relations ","Financial and Administrative Director"
3098,"active biotech ab-unsp adr","Cecilia   Hofvander  ","Assistant Director of Investor Relations and Business Development ",
3123,"ADA SA  ","Nicolas Rousselet",,"Chairman of the Board and Investor Relations Director"
3214,"Adriana Resources Inc  ","Connie Dos Santos",,"Corporate Secretary, Director - Investor Relations"
3224,"Adthink media  ","Bertrand Gros",,"Chief Executive Officer, Investor Relations Officer and Member of the Management Board"
3280,"Advanced Petrochemical Co Ltd  ","Mohammed Bin Abdul Rahman Al Omar",,"Director of Investor Relations"
3344,"AEGON N.V.  ","Willem van den Berg",,"Head of Investor Relations"
3354,"aeon credit service m bhd","Kit Seong   Lee  ","Head of Finance, Investor Relations and Admin Group, Assistant General Manager and Executive Director ",
3380,"Aeroporto di Firenze SpA  ","Marco Gialletti",,"Director of Finance, Admin. and Control, Director of Investor Relations, Financial Reporting Officer, Secretary"
3401,"Affecto Oyj  ","Hannu Nyman",,"Senior Vice President, Mergers & Acquisitions, Investor Relations"
3416,"Afluente Ger.E Transm.Energ.Eletr. SA  ","Erik da Costa Breyer",,"Chief Financial Officer, Investor Relations Officer, Member of the Executive Board"
3459,"aftermath silver ltd","Kevin   Stewart  ","Manager of Investor Relations",
3490,"AGL Energy Ltd  ","John D Hobson",,"Head of Capital Markets, Investor Relations Contact Officer"
3527,"Agroton Public Ltd  ","Oleg Platonov",,"Head of Investor Relations"
3670,"Akka Technologies SA  ","Dov Levy",,"Director for Investor Relations and Corporate Development"
3691,"Akzo Nobel N.V.  ","Jonathan Atack",,"Corporate Director Investor Relations"
3744,"alberta star development cor","Allan   Feldman  ","Investor Relations and Corporate Communications Specialist ",
3778,"Alerion Clean Power SpA  ","Stefano Francavilla",,"General Manager, Financial Reporting Officer, Investor Relations Officer"
3848,"ALL ORE Mineracao SA  ","Jorge Gustavo Lara Paravela",,"Chief Financial Officer, Director of Investor Relations"
3848,"all ore mineracao sa","Marco Henrique Ortega De Oliveira  ","Chief Financial Officer, Investor Relations Officer and Member of Executive Board  ",
4020,"Alstom SA  ","Delphine Brault",,"Vice President Investor Relations"
4083,"NSI  ","Christian Bichet",,"Chairman of the Management Board, Director of Investor Relations"
4083,"altran technologies-sp adr","Laurent   Dubois  ","Head of Investor Relations, Deputy Chief Financial Officer and Member of the Management Board ",
4109,"AMAG Pharmaceuticals, Inc.  ","Scott A. Holmes",,"Senior Vice President - Finance and Investor Relations, Chief Accounting Officer, Treasurer"
4109,"amag pharmaceuticals inc","Scott A. Holmes M.S., M.B.A., CPA","Chief Accounting Officer, Senior Vice President of Finance & Investor Relations and Treasurer ",
4128,"AMARA MINING PLC  ","Katharine Sutton",,"Head - Investor Relations"
4140,"Amata Corporation Public Company Limited  ","Siew Ko Chuen",,"Senior Vice President of Accounting & Finance, Information Technology and Investor Relations"
4150,"Ambac Financial Group, Inc.  ","Abbe F. Goldstein",,"Managing Director - Investor Relations and Corporate Communications"
4169,"Ambromobiliare SpA  ","Corinna zur Nedden",,"Executive Director, Director of Investor Relations"
4170,"ambu a/s-b","Michael   Højgaard  ","Chief Financial Officer, Executive Vice President of Global Finance, It & Investor Relations and Member of Executive Board  ",
4176,"AMCIL Limited  ","Geoffrey N. Driver",,"General Manager - Business Development and Investor Relations"
4196,"ameriana bancorp","Nicole   Weaver  ","Vice President of Investor Relations, Executive Assistant and Corporate Secretary ",
4250,"american lithium minerals in","Stephen   Cook  ","Vice President of Investor Relations ",
4366,"amkor technology inc","Greg   Johnson  ","Senior Director of Investor Relations & Corporate Communications ",
4387,"Ampla Energia e Servicos SA  ","Teobaldo Jose Cavalcante Leal",,"Chief Financial Officer, Investor Relations Officer, Member of the Executive Board"
4479,"Anel Elektrik Proje Taahhut ve Tic. A.S.  ","Onder Mutlu Bulut",,"Director of Investor Relations"
4511,"Anheuser Busch Inbev SA  ","Graham Staley",,"Vice President, Global Investor Relations Institutional Investors & Analysts, Global"
4619,"antioquia gold inc","Helen   Bilhete  ","Manager of Investor Relations ",
4748,"apptech corp","Ben   Chapman  ","Director of Investor Relations",
4754,"April SA  ","Marc Le Doze",,"Chief Financial Officer and Investor Relations Director"
4815,"Arc Exploration Limited  ","Andrew J. Cooke",,"Company Secretary, Investor Relations Contact Officer"
4831,"arcelormittal","Thomas A. McCue  ","Head of North American Investor Relations, Treasurer of Ispat Inland Inc and Director of Ispat Inland ULC ",
4852,"arco resources corp","Ian   Tootill  ","Director of Investor Relations ",
4902,"Argo Group International Holdings, Ltd.  ","Susan Spivak Bernstein",,"Senior Vice President - Investor Relations"
4911,"Argosy Property Ltd  ","Scott Lunny",,"Investor Relations Manager"
4936,"Arise AB  ","Leif Jansson",,"Vice President Investor Relations & Acquisitions, Director of Human Resources"
4952,"Arkema SA  ","Sophie Fouillat",,"Vice President of Investor Relations"
4981,"Arnoldo Mondadori Editore SpA  ","Dario Fumagalli",,"Head of Investor Relations"
4992,"arqule inc","William B. Boni  ","Vice President of Investor Relations & Corporate Communications",
5000,"Arrium Ltd  ","Steve Ashe",,"General Manager - Investor Relations & External Affairs"
5030,"Arteris SA  ","Alessandro Scotoni Levy",,"Investor Relations Officer, Member of the Executive Board"
5121,"Ascopiave SpA  ","Giacomo Bignucolo",,"Director of Planning and Control, Investor Relation Officer"
5218,"asia properties inc","Dennis   Burns  ","Head of Investor Relations ",
5273,"ASJ INC.  ","Taketomo Nii",,"Director of Investor Relations, Director"
5331,"Assystem SA  ","Pauline Bucaille",,"Member of the Executive Committee, Vice President - Communications & Investor Relations"
5349,"ASTM SpA  ","Graziano Settime",,"General Manager, Administrative and Financial Manager, Financial Reporting Officer, Investor Relations Supervisor"
5387,"Asya Katilim Bankasi A.S.  ","Feyzullah Egriboyun",,"Vice General Manager - Treasury, Financial Institutions, Investor Relations, Funding Development Departments"
5392,"ATA Inc.(ADR)  ","Alex Tong",,"Vice President-business development and investor relations"
5441,"Atlantia SpA  ","Massimo Sonego",,"Head of Corporate Finance and Investor Relations"
5480,"Atna Resources Ltd.  ","Valerie K. Kimball","Investor Relations Manager and Corporate Secretary ","Corporate Secretary, Investor Relations Manager"
5486,"Atos SE  ","Gilles Arditti","Head of M&A, Investor Relations ","Vice President, Investor Relations and Financial Communications"
5494,"Atrium European Real Estate Limited  ","Ljudmila Popova",,"Head of Business Development & Investor Relations"
5526,"Audio Pixels Holdings Ltd  ","Ian Alistair Dennis",,"Company Secretary, Non-Executive Director, Investor Relations Contact Officer"
5606,"Austbrokers Holdings Limited  ","Stephen S. Rouvray",,"Chief Financial Officer, Company Secretary, Investor Relations Manager"
5627,"Australian Foundation Investment Co.Ltd.  ","Geoffrey N. Driver",,"General Manager - Business Development and Investor Relations"
5708,"Alloycorp Mining Inc  ","Shawn Howarth",,"Vice President - Corporate Development and Investor Relations"
5725,"Aveo Group  ","Nina Lesnanska",,"Corporate Communications and Investor Relations Manager"
5773,"Aviv REIT Inc  ","David J. Smith",,"Managing Director - Investor Relations & Capital Markets"
5850,"AXMIN Inc.  ","Judith L. Webster",,"Vice President - Investor Relations"
5861,"ayala corporation","Norma P. Torres  ","Head of Investor Relations and Associate Director",
5907,"B&C Speakers S.p.A.  ","Simone Pratesi",,"Chief Financial Officer, Director of Investor Relations, Director"
5921,"B2Gold Corp.  ","Ian MacLean",,"Vice President - Investor Relations"
5922,"B2W Companhia Digital  ","Fabio da Silva Abrate",,"Investor Relations Officer, Member of the Executive Board"
5949,"Bahema SA  ","Guilherme Affonso Ferreira",,"Investor Relations Officer, Member of the Executive Board"
5991,"Ballast Nedam N.V.  ","I. van der Meijden",,"Director of Communication & Investor Relations"
5991,"Ballast Nedam N.V.  ","Peter van Zwieten","Chief Financial Officer, Head of Ballast Nedam Infra, Head of Finance & Investor Relations and Member of Management Board ","Member of the Management Board, Chief Financial Officer, Director of Investor Relations"
6016,"Banca IFIS SpA  ","Giovanni Bossi","Chief Executive Officer, Director and Member of Executive Committee ","Chief Executive Officer, Executive Director, Investor Relations Manager"
6025,"Banco ABC Brasil SA  ","Sergio Lulia Jacob","Director Vice-President, Executive Vice-President of Treasury & Investor Relations and Investor Relations Director ","Investor Relations and Treasury Vice President, Member of the Executive Board"
6029,"Banco da Amazonia SA  ","Jose Roberto de Lima",,"Director of Investor Relations"
6038,"Banco Industrial e Comercial SA  ","Milto Bardini",,"Deputy Chief Executive Officer, Investor Relations Officer, Member of the Executive Board"
6039,"Banco Indusval SA  ","Gilberto Barshad Faiwichow",,"Vice President, Investor Relations Officer, Member of the Executive Board"
6048,"Banco Sofisa SA  ","Ricardo Simone Pereira","Chief Financial Officer and Investor Relations Officer ","Member of the Executive Board"
6055,"Banestes SA Banco do Estado Esprt Santo  ","Ranieri Feres Doelinger",,"Chief Financial and Investor Relations Officer"
6101,"Bank of Marin Bancorp  ","Nancy R. Boatright",,"Corporate Secretary, Investor Relations Contact"
6107,"Bank of Queensland Limited  ","Karyn Munsie",,"Group Executive - Corporate Affairs, Investor Relations and Government Relations"
6144,"Banro Corporation  ","Naomi Nemeth",,"Vice President - Investor Relations"
6177,"Bardella SA Industrias Mecanicas  ","Jose Roberto Mendes da Silva",,"Chief Executive Officer, Investor Relations Officer, Member of the Executive Board"
6223,"Bastogi SpA  ","Benedetta Azario",,"Director of Investor Relations"
6286,"Banco do Estado do Rio Grande do Sul SA  ","Joao Emilio Gazzana",,"Chief Financial Officer, Investor Relations Officer, Member of the Executive Board"
6293,"bdo unibank inc-spon adr","Luis S. Reyes Jr.","Head of Investor Relations & Corporate Planning and Senior Vice President ",
6297,"be","Virginie   Roussel  ","Investor Relations Officer ",
6314,"beaufield resources inc","Louis   Morin  ","Manager of Investor Relations",
6480,"Bellatrix Exploration Ltd  ","Steve G. Toth",,"Vice President - Investor Relations"
6498,"Bematech SA  ","Marcos Andreetto Perillo","Chief Financial & Administrative Officer, Investor Relations Officer and Member of Executive Board ","Chief Financial, Administrative and Investor Relations Officer, Member of the Executive Board"
6558,"Berkosan Yalitim ve Tecrit Maddeleri  ","Ali Riza Tuzunguven",,"Director of Investor Relations, IR Contact Officer"
6675,"Biancamano SpA  ","Chiara Locati",,"Investor Relations Manager"
6677,"Bicicletas Monark SA  ","Sylvio Marzagao",,"Chairman of the Board, Chief Executive Officer, Investor Relations Officer, Member of the Executive Board"
6681,"Biesse SpA  ","Alberto Amurri",,"Group Financial Manager, Investor Relations Manager"
6697,"BigAir Group Limited  ","Charles Chapman",,"Chief Financial Officer, Company Secretary, Investor Relations"
6776,"BioGaia AB  ","Margareta Hagman",,"Executive Vice President Accounting, Finance and Investor Relations"
6776,"biogaia ab-b shs","Margareta   Hagman M.B.A.","Chief Financial Officer, Executive Vice President of Accounting, Finance & Investor Relations, Controller and Member of Editorial Board ",
6927,"Black Earth Farming Ltd  ","Erik Lystedt",,"Director of Investor Relations"
6949,"Blackgold International Holdings Ltd  ","Teck Meng Lim",,"Financial Controller, Investor Relations Contact Officer"
7063,"BM&F Bovespa SA  ","Eduardo Refinetti Guardia","Chief Product Officer and Member of Executive Board ","Investor Relations Officer, Chief Products Officer, Member of the Executive Board"
7063,"BM&F Bovespa SA  ","Daniel Sonder","Chief Financial, Corporate Affairs &  Investor Relations Officer and Member of Executive Board ","Chief Financial Officer, Chief Corporate Officer, Member of the Executive Board"
7087,"Bob Evans Farms Inc  ","Scott C. Taggart",,"Vice President - Investor Relations"
7126,"Societe Industrielle et Finc d lArts SA  ","Emmanuel Fossorier",,"Permanent Representative of Compagnie du Cambodge on the Board, Director of Investor Relations"
7160,"bonterra energy corp","Kirsten   Kulyk  ","Manager of Investor Relations",
7177,"Boral Limited  ","Kylie FitzGerald",,"Group Communications & Investor Relations Director"
7202,"boss power corp","Tony   Perri  ","Investor Relations Manager ",
7213,"boston therapeutics inc","Anthony D. Squeglia M.B.A.","Chief Financial Officer, Principal Accounting Officer and Vice President of Strategic Planning & Investor Relations ",
7237,"Boustead Singapore Limited  ","Keith Chu",,"Vice President - Corporate Marketing & Investor Relations"
7245,"bowleven plc","Kerry Anne McKenzie Crawford  ","Head of Investor Relations, Finance Director, Member of Group Management Board and Executive Director ",
7268,"bpz resources inc","A. Pierre Dubois  ","Director of Investor Relations and Head of Corporate Communications ",
7270,"BR Malls Participacoes SA  ","Frederico da Cunha Villa",,"Investor Relations Officer, Member of the Executive Board"
7270,"BR Malls Participacoes SA (ADR)  ","Leandro Rocha Franco Lopes","Chief Financial Officer, Investor Relations Director and Member of Board of Executive Officers ","Chief Financial Officer, Member of the Executive Board"
7271,"BR Properties SA  ","Pedro Marcio Daltro dos Santos",,"Chief Financial Officer, Investor Relations Officer, Member of the Executive Board"
7308,"Brasil Brokers Participacoes SA  ","Silvio Roberto Vieira Almeida",,"Chief Financial Officer, Controller, Investor Relations Officer, Member of the Executive Board"
7310,"Brasilagro Companhia Braslr Propds Agrcl  ","Julio Toledo Piza Neto",,"Chief Executive Officer, Investor Relations Officer, Member of the Executive Board"
7324,"BRB Banco de Brasilia SA  ","Alair Jose Martins Vargas",,"Interim Director of Investor Relations, Member of the Executive Board"
7340,"Freni Brembo SpA  ","Matteo Tiraboschi","Executive Deputy Chairman, Chief Financial Officer, Director of Foreign Companies and Investor Relation Officer ","Executive Vice Chairman of the Board, Chief Financial Officer, Financial Reporting Officer"
7345,"BRF SA  ","Augusto Ribeiro Jr.",,"Member of the Executive Board, Vice President of Finance and Investor Relations"
7350,"Bricorama SA  ","Christian Roubaud","Deputy Chief Executive Officer, Chief Financial Officer, Director, Member of Expansion Committee, Member of Management Committee, Member of IT Committee, Member of Benelux Committee, Member of Spain Committee, Member of Mangagement & Financial Direction Committee, Member of Legal Committee and Member of Human Ressources Committee ","Director of Finance and Administration, Member of the Management Committee and Investor Relations Director"
7395,"Brioschi Sviluppo Immobiliare SpA  ","Sergio Barilaro",,"Head of Corporate and Compliance Department, Director of Investor Relations"
